,,,,,,,,,CREATE,,,,,FileID GUID (RSP) ,CreateOptions (REQ),FileAttributes (REQ) ,FileAttributes (RSP) ,AllocationSize (RSP),FilePath 
,,,,,,,,,CLOSE,,,,,FileID GUID (REQ/RSP) ,CreationTime (RSP) ,LastWrite (RSP),LastChange (RSP),File Attributes (RSP) ,EnfOfFile (RSP)
,,,,,,,,,QUERY_INFO,,,,,FileID GUID (REQ/RSP) ,InfoType (REQ),FileInfoClass (REQ),,,
,,,,,,,,,SET_INFO,,,,,FileID GUID (REQ/RSP) ,InfoType (REQ),FileInfoClass (REQ),"NewFilePathSolo para la File Info Class numero 10 (renombrado), contiene el nuevo path anonimizado (salvo la ultima extension,mantiene la estructura de subdirectorios)",,
,,,,,,,,,READ,,,,,FileID GUID (REQ/RSP),Length (REQ),Offset (REQ) ,DataLength (RSP) ,DataRemaining (RSP) ,
,,,,,,,,,WRITE,,,,,FileID GUID (REQ/RSP) ,Length (REQ),Offset (REQ) ,DataLength (RSP) ,,
,,,,,,,,,FLUSH,,,,,FileID GUID (REQ/RSP) ,,,,,
,,,,,,,,,LOCK,,,,,FileID GUID (REQ/RSP) ,,,,,
,,,,,,,,,IOCTL,,,,,FileID GUID (REQ/RSP) ,,,,,
,,,,,,,,,QUERY_DIRECTORY,,,,,FileID GUID (REQ/RSP) ,,,,,
,,,,,,,,,CHANGE_NOTIFY,,,,,FileID GUID (REQ/RSP) ,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
192.168.1.4,49245,192.168.1.5,445,40,188.057410,188.057410,188.227726,188.230354,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,1245184,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.054822,188.054822,188.239294,188.240322,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,0,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.055025,188.055025,188.241753,188.242791,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,65536,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.057512,188.057512,188.244794,188.245814,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,1310720,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.057613,188.057613,188.247273,188.248451,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,1376256,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.057916,188.057916,188.250030,188.251173,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,1572864,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.058071,188.058071,188.252560,188.253838,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,1638400,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.058173,188.058173,188.255265,188.261230,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,1703936,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.058274,188.058274,188.261230,188.261230,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,1769472,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.058375,188.058375,188.261230,188.267966,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,1835008,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.058475,188.058475,188.267966,188.270623,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,1900544,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.058575,188.058575,188.270623,188.273508,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,1966080,65536,0,
192.168.1.4,49245,192.168.1.5,445,40,188.058675,188.058675,188.273508,188.275908,READ,0,0,0,5.0,e9010000e00100009d003000ffffffff,65536,2031616,65536,0,
